,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33
Mountain range,Alaska Range,Alaska Range,Alaska Range,Caucasus Mountains,Caucasus Mountains,Caucasus Mountains,Chilean Andes,Chilean Andes,Chilean Andes,Ecuadorian Andes,Ecuadorian Andes,Ecuadorian Andes,European Alps,European Alps,European Alps,Himalayas,Himalayas,Himalayas,Pamir & Tien Shan,Pamir & Tien Shan,Pamir & Tien Shan,Rwenzori Mountains,Rwenzori Mountains,Rwenzori Mountains,Scandinavian Mountains,Scandinavian Mountains,Scandinavian Mountains,Southern Alps,Southern Alps,Southern Alps,Southwest Greenland,Southwest Greenland,Southwest Greenland
gl_index,0.0030367360,0.0111421803,0.0784966041,0.0009520947,0.0020027677,0.0049958573,0.0007434598,0.0023581256,0.0102005968,0.0032224262,0.0067798468,0.0169949832,0.0028612610,0.0095896940,0.0244790544,0.0020723709,0.0040293768,0.0076554151,0.0021581347,0.0077445796,0.1017765987,0.0025104397,0.0030109149,0.0035113900,0.0039068400,0.0084852460,0.0392027689,0.0011152625,0.0017760540,0.0093653437,0.0010337322,0.0032634576,0.0306893908
gl_area, 2.3900, 4.9150,59.4950, 1.5725, 3.6100,10.1025, 0.1600, 0.3050, 8.8400, 0.2950, 0.5400, 0.7875, 1.3250, 3.1750, 7.8575, 1.7900, 3.9700,10.4400, 1.0050, 1.7000, 5.1650, 0.0300, 0.0300, 0.0300, 1.1000, 3.7850, 6.4300, 0.4250, 0.7100, 2.3975, 0.5575, 0.6450, 1.1575
gl_dist,  45.25, 420.50, 825.50, 329.00, 979.50,1750.00,  63.25, 542.00,1132.25,  45.75,  85.00, 222.50,  73.00, 226.50, 530.50, 196.50, 618.50, 888.50,   9.75, 177.50, 900.25,  53.75,  64.50,  75.25,  52.00, 282.50, 419.00, 194.25, 577.00, 874.75,  24.50, 215.00, 914.50
gl_coverage,0.4600,0.5050,0.5600,0.3900,0.4300,0.5175,0.3100,0.4700,0.6400,0.7300,0.8150,0.9025,0.3850,0.5400,0.6400,0.3400,0.4350,0.4875,0.4200,0.5600,0.6500,0.9100,0.9100,0.9100,0.5150,0.6000,0.7825,0.2675,0.4850,0.6025,0.3275,0.5600,0.6825
turbidity,  26.900000, 131.800000, 202.900000,  11.300000,  26.900000,  52.400000,  49.610000, 108.330000, 202.225000, 256.600000, 631.150000,1052.200000,  30.300000,  72.800000, 132.700000,   7.679612,  18.402425,  33.328480,  18.241845,  68.214800, 240.053000,   6.680000,   7.260000,   7.840000,  11.550000,  27.850000,  38.650000,   1.800000,   9.050000,  40.525000,  38.175000,  65.550000,  98.400000
conductivity, 63.000, 94.150,113.325, 54.000, 78.350,113.675,  3.800, 39.950,235.125,  3.600,  7.050, 15.850, 28.800, 66.500,119.975, 67.600,104.800,370.750, 55.025,106.400,190.600,  9.875, 10.050, 10.225,  3.350,  5.350,  9.825, 12.425, 32.450, 67.125,  3.925,  5.250,  6.525
water_temp,0.400,1.300,2.075,1.000,3.600,4.700,1.725,4.000,6.350,0.900,2.950,4.275,0.500,1.250,2.475,0.400,1.450,3.775,0.375,0.950,3.000,0.500,0.600,0.700,0.675,1.800,2.750,1.375,3.400,5.550,0.375,2.450,4.775
chla,0.000000e+00,1.245555e-04,1.310781e-02,3.848889e-03,9.238667e-03,3.949442e-02,3.616667e-06,1.863382e-04,1.324636e-03,1.376111e-03,4.311778e-03,1.140017e-02,1.315611e-03,7.897833e-03,1.533764e-02,5.607527e-04,6.644944e-03,3.019397e-02,9.834583e-03,4.747822e-02,1.760617e-01,6.950509e-01,1.008130e+00,1.321210e+00,1.476861e-03,6.575000e-03,1.355300e-02,1.051417e-04,3.363000e-04,9.485139e-03,3.760917e-03,7.722667e-03,1.745408e-02
DOC, 79.22333,151.55667,227.72167,141.65833,184.43333,242.93333, 95.33333,113.00000,192.16667,205.31667,246.20000,300.51667,128.00000,159.33333,209.16667, 72.66667,110.66667,129.55667,199.23583,250.47083,351.00000,474.00000,474.00000,474.00000, 59.75000,108.20833,189.81667, 75.14167, 91.55000,122.97500,118.80000,138.87500,167.32083
DIN, 26.5675, 31.2100, 40.3200,190.5050,246.5050,302.2125, 15.5925, 24.3600,110.5700, 20.8175, 33.5550, 54.7225,109.4050,178.5750,205.4800, 90.1575,123.9800,140.0925,237.7000,399.4150,521.1975,185.6175,186.7250,187.8325, 31.0850, 47.4400, 84.2850, 34.8500, 46.4000, 68.2000, 13.2400, 16.2900, 18.5600
SRP, 2.9450, 4.0900, 6.4650, 0.8575, 1.3950, 4.1150, 2.0550, 5.4050,12.3950, 8.3350,11.6550,29.0725, 1.2450, 1.9900, 2.8650, 0.9725, 1.0900, 1.3600, 1.0375, 1.6600, 2.5825, 0.8000, 0.8500, 0.9000, 1.3425, 2.2550, 5.3925, 6.1000, 6.8000, 7.4250, 4.7600, 8.8100,29.3900
NP,   9.948690,  15.815710,  25.093262, 138.333008, 546.188579, 854.810094,   3.374529,   7.731657,  51.323893,   3.339057,   6.244979,  10.212837,  90.584709, 187.342800, 282.704343, 164.296366, 230.595680, 296.739920, 255.319601, 493.145941,1139.282878, 465.851638, 491.906066, 517.960493,  27.341625,  46.510005,  72.658510,  12.590293,  14.617905,  20.811471,   1.595062,   3.323259,   7.016698
CN, 3.1226556, 6.1668364, 8.2889975, 0.5202811, 0.7040624, 0.9690357, 1.8534732, 5.8340248, 9.4214943, 5.9758157, 8.9942729,11.2807945, 0.8186035, 1.1110530, 1.5059305, 0.7847801, 1.1609844, 1.6970809, 0.4169778, 0.7822672, 1.2932718, 2.9256367, 2.9256367, 2.9256367, 1.8100547, 2.1407532, 3.2272980, 1.6829397, 2.4330528, 3.3353549, 9.6687100,10.8582961,12.4376934
CP,  45.68023, 113.62942, 188.92370, 150.01553, 320.46244, 746.57932,  19.12924,  41.95671, 130.51477,  23.41650,  63.78168, 112.19102, 124.89242, 210.23420, 443.70532, 152.35203, 209.84375, 426.98569, 220.29234, 407.37210, 870.56979,1286.68685,1286.68685,1286.68685,  83.02564, 125.10121, 199.26955,  27.20665,  37.19785,  44.65448,  17.47286,  47.19512,  59.97401
CUE,NA,NA,NA,0.14035378,0.18559832,0.21409296,0.09504223,0.13949688,0.22275473,0.09916288,0.12178952,0.18013468,0.10236231,0.14011435,0.20410500,0.11544335,0.15542879,0.20120313,0.08461927,0.12398059,0.15952349,0.07999699,0.09142009,0.10284320,0.19793729,0.24229877,0.32164666,0.11712824,0.14305563,0.17640542,0.12124912,0.19864318,0.22907972
TER_cn,NA,NA,NA, 94.99297, 95.89409, 98.65500, 93.79961, 96.33318,101.80752,101.36005,105.49246,114.87187, 93.88588, 95.48242, 98.53892, 93.13280, 94.41239, 96.46341, 93.50050, 93.87666, 94.56618,406.50637,479.26529,552.02420, 98.86788,103.36203,108.26093, 93.70507, 95.80557, 98.80773, 97.70529,105.50251,110.27656
TER_cp,NA,NA,NA, 87.27291,121.90557,221.04342, 80.76647,226.79024,493.41590,124.09368,253.71103,483.89956, 78.83507,186.48074,423.90646,103.38378,185.83802,314.94273,176.80059,286.75874,608.01421,107.50065,119.08767,130.67469, 39.45387, 71.01208,102.63178,139.22505,214.76923,325.06076, 67.96250,100.79558,289.02761
LAP,NA,NA,NA, 0.5317726, 1.2186335, 4.7061808, 0.3928455, 0.6276025, 1.3603274, 0.3958457, 0.8076195, 1.3366693, 0.8058361, 2.3167851, 4.2404122, 3.4858069, 6.6740825,15.7558854, 7.7696315,24.5575937,37.4734911,10.9751993,15.1493703,19.3235413, 0.4239322, 0.9677204, 1.8695675, 0.6574512, 1.2860568, 3.0872504, 0.6937960, 1.0872959, 1.8945059
BG,NA,NA,NA,  0.04913594,  0.09060094,  0.24610356,  0.01297052,  0.03450563,  0.13305496,  0.09275065,  0.24971663,  0.42197362,  0.03011024,  0.04961062,  0.21922123,  0.04636563,  0.25131107,  0.76312607,  0.13234393,  0.46054891,  0.91743899,102.70960683,142.31684968,181.92409254,  0.06539381,  0.17353582,  0.37573288,  0.01683191,  0.04179003,  0.43809176,  0.09297359,  0.20019638,  0.57894929
AG,NA,NA,NA,0.008511215,0.021824346,0.073529722,0.001437972,0.004477933,0.021391250,0.014180622,0.029397399,0.083109900,0.007696584,0.016630568,0.056618322,0.014977278,0.059945611,0.186685611,0.038023083,0.236114167,0.455872444,4.229470500,5.835819945,7.442169390,0.008344153,0.022607793,0.058585747,0.003668360,0.006781408,0.138394975,0.015063838,0.032973338,0.072689915
AP,NA,NA,NA,  0.19133979,  0.59997083,  1.90951549,  0.06048329,  0.19413412,  0.51557198,  0.06269306,  0.27792532,  0.53378401,  0.26838755,  0.66669249,  2.27056172,  1.09142190,  2.02568735,  3.78551373,  0.99116318,  3.42338012,  8.06019448, 51.41210729, 77.74234312,104.07257896,  0.29773354,  0.96026685,  1.80920565,  0.14254486,  0.32719078,  1.36610864,  0.16265487,  0.39302546,  1.45546850
NAG,NA,NA,NA, 0.023286621, 0.040155087, 0.096079963, 0.001340772, 0.012710411, 0.046703134, 0.024257372, 0.043072154, 0.167127253, 0.005403165, 0.012846484, 0.058116791, 0.008974017, 0.057321467, 0.329040689, 0.052527550, 0.191610689, 0.315167411,13.835272022,24.092701801,34.350131579, 0.023817647, 0.045497190, 0.102339896, 0.004223846, 0.019199113, 0.168726823, 0.029993357, 0.067664558, 0.187399975
